SiteKey,Year,MonthNum,CampusKey,kWp,Number of panels,Panel,Inverter,lat,Lon,monthly_generation_kwh,nonnull_generation_intervals,air_temperature_mean_c,apparent_temperature_mean_c,dew_point_mean_c,relative_humidity_mean_pct,wind_speed_mean,generation_kwh_per_kwp,month_sin,month_cos
27,2020,1,1,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,-37.71828652,145.0509752,52882.59366999997,1312,20.14110439067742,19.129379480265122,12.49868279565894,67.92320788531552,9.709769265209006,97.96701309744346,0.49999999999999994,0.8660254037844387
27,2020,2,1,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,-37.71828652,145.0509752,54404.46899999997,1444,19.072332375427443,18.76363266291451,14.518285440609196,77.67523946364584,9.919209770086924,100.78634494257128,0.8660254037844386,0.5000000000000001
27,2020,3,1,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,-37.71828652,145.0509752,53486.31200000015,1476,17.30524865592507,16.060849014389113,11.119970878090726,70.63317652326948,8.604086021459006,99.08542423119702,1.0,6.123233995736766e-17
34,2020,3,1,21.39,69.0,Trina 310W,1 x SolarEdge SE17K,-37.71828652,145.0509752,881.7935047,533,17.30524865592507,16.060849014389113,11.119970878090726,70.63317652326948,8.604086021459006,41.224567774661054,1.0,6.123233995736766e-17
35,2020,3,1,29.45,95.0,Trina 310W,1 x SolarEdge SE25K,-37.71828652,145.0509752,1585.9562652400002,685,17.30524865592507,16.060849014389113,11.119970878090726,70.63317652326948,8.604086021459006,53.85250476196945,1.0,6.123233995736766e-17
27,2020,4,1,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,-37.71828652,145.0509752,35816.984400000045,1299,14.356349537062151,12.81089583330903,10.280516203808332,78.8612500000139,8.86104166666007,66.35232382363847,0.8660254037844387,-0.4999999999999998
34,2020,4,1,21.39,69.0,Trina 310W,1 x SolarEdge SE17K,-37.71828652,145.0509752,1757.4736355999992,1178,14.356349537062151,12.81089583330903,10.280516203808332,78.8612500000139,8.86104166666007,82.1633303225806,0.8660254037844387,-0.4999999999999998
35,2020,4,1,29.45,95.0,Trina 310W,1 x SolarEdge SE25K,-37.71828652,145.0509752,2348.756102,1204,14.356349537062151,12.81089583330903,10.280516203808332,78.8612500000139,8.86104166666007,79.75402723259762,0.8660254037844387,-0.4999999999999998
27,2020,5,1,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,-37.71828652,145.0509752,22613.03139999992,1209,11.366527777800068,9.235241935502016,8.048667114702285,81.96590501797043,8.797827060903225,41.89149944423846,0.49999999999999994,-0.8660254037844387
34,2020,5,1,21.39,69.0,Trina 310W,1 x SolarEdge SE17K,-37.71828652,145.0509752,1471.675291000001,1079,11.366527777800068,9.235241935502016,8.048667114702285,81.96590501797043,8.797827060903225,68.8020238896681,0.49999999999999994,-0.8660254037844387
35,2020,5,1,29.45,95.0,Trina 310W,1 x SolarEdge SE25K,-37.71828652,145.0509752,1880.7985810000018,1120,11.366527777800068,9.235241935502016,8.048667114702285,81.96590501797043,8.797827060903225,63.86412838709684,0.49999999999999994,-0.8660254037844387
14,2020,6,1,66.0,200.0,Trina 330W,2 x SolarEdge SE27.6K,-37.71828652,145.0509752,1853.945663075,602,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,28.09008580416667,1.2246467991473532e-16,-1.0
15,2020,6,1,94.24,304.0,Trina 310W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,4172.761154021876,983,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,44.278025827906156,1.2246467991473532e-16,-1.0
17,2020,6,1,45.26,146.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,1351.7392443915628,614,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,29.866090242853797,1.2246467991473532e-16,-1.0
19,2020,6,1,34.32,104.0,Trina 330W,1 x SolarEdge SE27.6K,-37.71828652,145.0509752,839.1422733179686,73,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,24.45053243933475,1.2246467991473532e-16,-1.0
20,2020,6,1,77.22,234.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,2492.649665218125,678,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,32.27984544442016,1.2246467991473532e-16,-1.0
21,2020,6,1,39.27,119.0,Trina 330W,2 x SolarEdge SE17K,-37.71828652,145.0509752,1024.5789155239063,647,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,26.09062682770324,1.2246467991473532e-16,-1.0
22,2020,6,1,72.27,219.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,2099.0254300700003,675,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,29.044215166320747,1.2246467991473532e-16,-1.0
24,2020,6,1,40.26,122.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,3230.3352449791255,679,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,80.2368416537289,1.2246467991473532e-16,-1.0
25,2020,6,1,384.12,1164.0,Trina 330W,4 x SolarEdge SE82.8K,-37.71828652,145.0509752,721.213688862356,102,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,1.877573906233354,1.2246467991473532e-16,-1.0
26,2020,6,1,38.94,118.0,Trina 330W,1 x SolarEdge SE17K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,1177.0312248962503,650,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,30.226790572579617,1.2246467991473532e-16,-1.0
27,2020,6,1,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,-37.71828652,145.0509752,15102.71889999992,784,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,27.978360318636387,1.2246467991473532e-16,-1.0
31,2020,6,1,76.23,231.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,2695.4774148906245,678,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,35.35979817513609,1.2246467991473532e-16,-1.0
32,2020,6,1,35.64,108.0,Trina 330W,2 x SolarEdge SE15K,-37.71828652,145.0509752,1014.5505033129067,639,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,28.466624672079313,1.2246467991473532e-16,-1.0
33,2020,6,1,87.78,266.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,3026.2381723212497,681,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,34.47525828572852,1.2246467991473532e-16,-1.0
34,2020,6,1,21.39,69.0,Trina 310W,1 x SolarEdge SE17K,-37.71828652,145.0509752,1165.8461954375025,968,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,54.50426346131381,1.2246467991473532e-16,-1.0
35,2020,6,1,29.45,95.0,Trina 310W,1 x SolarEdge SE25K,-37.71828652,145.0509752,1418.9340819687486,1000,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,48.181123326612855,1.2246467991473532e-16,-1.0
36,2020,6,1,49.83,151.0,Trina 330W,1 x SolarEdge SE27.6K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,1381.7114421711256,659,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,27.72850576301677,1.2246467991473532e-16,-1.0
37,2020,6,1,51.15,155.0,Trina 330W,1 x SolarEdge SE25K + 1 x SolarEdge SE17K,-37.71828652,145.0509752,1452.2565963731251,667,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,28.392113321077716,1.2246467991473532e-16,-1.0
38,2020,6,1,56.76,172.0,Trina 330W,1 x SolarEdge SE50K,-37.71828652,145.0509752,1495.6413625816876,670,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,26.350270658592102,1.2246467991473532e-16,-1.0
40,2020,6,1,84.81,257.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,2223.503729328125,676,9.89404398148889,7.9922731481253475,7.576291666681251,86.95226851853819,7.139655092572222,26.21747116293037,1.2246467991473532e-16,-1.0
14,2020,7,1,66.0,200.0,Trina 330W,2 x SolarEdge SE27.6K,-37.71828652,145.0509752,2778.56640625,887,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,42.099491003787875,-0.4999999999999997,-0.8660254037844388
15,2020,7,1,94.24,304.0,Trina 310W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,3218.62890625,807,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,34.15353253660866,-0.4999999999999997,-0.8660254037844388
17,2020,7,1,45.26,146.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,1829.2391357421875,830,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,40.4162425042463,-0.4999999999999997,-0.8660254037844388
18,2020,7,1,167.97,509.0,Trina 330W,3 x SolarEdge SE50K,-37.71828652,145.0509752,5671.730958938599,669,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,33.766333029342135,-0.4999999999999997,-0.8660254037844388
19,2020,7,1,34.32,104.0,Trina 330W,1 x SolarEdge SE27.6K,-37.71828652,145.0509752,7404.8675537109375,748,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,215.75954410579655,-0.4999999999999997,-0.8660254037844388
20,2020,7,1,77.22,234.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,3255.602294921875,831,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,42.16009187933016,-0.4999999999999997,-0.8660254037844388
21,2020,7,1,39.27,119.0,Trina 330W,2 x SolarEdge SE17K,-37.71828652,145.0509752,1344.0372314453125,818,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,34.22554701923383,-0.4999999999999997,-0.8660254037844388
22,2020,7,1,72.27,219.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,2692.719482421875,867,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,37.259159850863085,-0.4999999999999997,-0.8660254037844388
24,2020,7,1,40.26,122.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,4209.455322265625,897,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,104.55676409005527,-0.4999999999999997,-0.8660254037844388
25,2020,7,1,384.12,1164.0,Trina 330W,4 x SolarEdge SE82.8K,-37.71828652,145.0509752,15906.423522949219,822,9.28836693549664,7.441675627269489,7.4942876344213705,89.86583781363576,6.653001792084005,41.41003728769452,-0.4999999999999997,-0.8660254037844388
