monthly_consumption_kwh,future_usage_growth_pct,adjusted_monthly_consumption_kwh,annual_consumption_kwh,empirical_annual_yield_kwh_per_kwp,required_capacity_kw,mnre_min_capacity_kw,mnre_max_capacity_kw,recommended_capacity_kw,label_source
50,0,50.0,600.0,1055.52,0.568,1.0,2.0,1.0,method_derived
50,5,52.5,630.0,1055.52,0.597,1.0,2.0,1.0,method_derived
50,10,55.0,660.0,1055.52,0.625,1.0,2.0,1.0,method_derived
50,15,57.5,690.0,1055.52,0.654,1.0,2.0,1.0,method_derived
50,20,60.0,720.0,1055.52,0.682,1.0,2.0,1.0,method_derived
75,0,75.0,900.0,1055.52,0.853,1.0,2.0,1.0,method_derived
75,5,78.75,945.0,1055.52,0.895,1.0,2.0,1.0,method_derived
75,10,82.5,990.0,1055.52,0.938,1.0,2.0,1.0,method_derived
75,15,86.25,1035.0,1055.52,0.981,1.0,2.0,1.0,method_derived
75,20,90.0,1080.0,1055.52,1.023,1.0,2.0,1.023,method_derived
100,0,100.0,1200.0,1055.52,1.137,1.0,2.0,1.137,method_derived
100,5,105.0,1260.0,1055.52,1.194,1.0,2.0,1.194,method_derived
100,10,110.0,1320.0,1055.52,1.251,1.0,2.0,1.251,method_derived
100,15,115.0,1380.0,1055.52,1.307,1.0,2.0,1.307,method_derived
100,20,120.0,1440.0,1055.52,1.364,1.0,2.0,1.364,method_derived
125,0,125.0,1500.0,1055.52,1.421,1.0,2.0,1.421,method_derived
125,5,131.25,1575.0,1055.52,1.492,1.0,2.0,1.492,method_derived
125,10,137.5,1650.0,1055.52,1.563,1.0,2.0,1.563,method_derived
125,15,143.75,1725.0,1055.52,1.634,1.0,2.0,1.634,method_derived
125,20,150.0,1800.0,1055.52,1.705,1.0,2.0,1.705,method_derived
150,0,150.0,1800.0,1055.52,1.705,1.0,2.0,1.705,method_derived
150,5,157.5,1890.0,1055.52,1.791,1.0,2.0,1.791,method_derived
150,10,165.0,1980.0,1055.52,1.876,1.0,2.0,1.876,method_derived
150,15,172.5,2070.0,1055.52,1.961,1.0,2.0,1.961,method_derived
150,20,180.0,2160.0,1055.52,2.046,1.0,2.0,2.046,method_derived
175,0,175.0,2100.0,1055.52,1.99,2.0,3.0,2.0,method_derived
175,5,183.75,2205.0,1055.52,2.089,2.0,3.0,2.089,method_derived
175,10,192.5,2310.0,1055.52,2.188,2.0,3.0,2.188,method_derived
175,15,201.25,2415.0,1055.52,2.288,2.0,3.0,2.288,method_derived
175,20,210.0,2520.0,1055.52,2.387,2.0,3.0,2.387,method_derived
200,0,200.0,2400.0,1055.52,2.274,2.0,3.0,2.274,method_derived
200,5,210.0,2520.0,1055.52,2.387,2.0,3.0,2.387,method_derived
200,10,220.0,2640.0,1055.52,2.501,2.0,3.0,2.501,method_derived
200,15,230.0,2760.0,1055.52,2.615,2.0,3.0,2.615,method_derived
200,20,240.0,2880.0,1055.52,2.729,2.0,3.0,2.729,method_derived
225,0,225.0,2700.0,1055.52,2.558,2.0,3.0,2.558,method_derived
225,5,236.25,2835.0,1055.52,2.686,2.0,3.0,2.686,method_derived
225,10,247.5,2970.0,1055.52,2.814,2.0,3.0,2.814,method_derived
225,15,258.75,3105.0,1055.52,2.942,2.0,3.0,2.942,method_derived
225,20,270.0,3240.0,1055.52,3.07,2.0,3.0,3.07,method_derived
250,0,250.0,3000.0,1055.52,2.842,2.0,3.0,2.842,method_derived
250,5,262.5,3150.0,1055.52,2.984,2.0,3.0,2.984,method_derived
250,10,275.0,3300.0,1055.52,3.126,2.0,3.0,3.126,method_derived
250,15,287.5,3450.0,1055.52,3.269,2.0,3.0,3.269,method_derived
250,20,300.0,3600.0,1055.52,3.411,2.0,3.0,3.411,method_derived
275,0,275.0,3300.0,1055.52,3.126,2.0,3.0,3.126,method_derived
275,5,288.75,3465.0,1055.52,3.283,2.0,3.0,3.283,method_derived
275,10,302.5,3630.0,1055.52,3.439,2.0,3.0,3.439,method_derived
