SiteKey,Year,MonthNum,kWp,lat,Lon,air_temperature_mean_c,apparent_temperature_mean_c,dew_point_mean_c,relative_humidity_mean_pct,month_sin,month_cos,actual_monthly_generation_kwh
27,2020,1,32328.8,0.0,0.0,83.676765,2206.4155,-16.907516,628.56323,-107.433075,9317.757,52882.59366999997
27,2020,2,33411.652,0.0,0.0,610.42535,2615.3755,148.20187,94.054985,-273.6917,9350.256,54404.46899999997
27,2020,3,33874.836,0.0,0.0,1348.511,306.54068,1671.5443,814.38074,-190.36836,7124.039,53486.31200000015
34,2020,3,-8453.289,0.0,0.0,356.3935,10.660513,170.51537,105.748215,-363.16446,896.5891,881.7935047
35,2020,3,-8066.9707,0.0,0.0,475.89392,14.948175,171.45879,159.22298,-535.39417,884.15656,1585.9562652400002
27,2020,4,27195.594,0.0,0.0,1214.2739,707.50934,1827.0365,937.62305,-381.83093,-4463.3574,35816.984400000045
34,2020,4,-6528.7773,0.0,0.0,237.39813,67.708275,518.20264,-54.82311,-13.943063,-665.06866,1757.4736355999992
35,2020,4,-6170.876,0.0,0.0,215.34747,68.02903,530.0265,-76.59434,-60.24478,-699.3813,2348.756102
27,2020,5,22955.426,0.0,0.0,1015.6355,180.07396,-995.6778,-692.40955,-567.28467,-7876.879,22613.03139999992
34,2020,5,-5362.5005,0.0,0.0,166.34406,3.2594025,-98.64954,-161.97354,-34.88394,-1432.5328,1471.675291000001
35,2020,5,-4954.118,0.0,0.0,146.47734,6.3222675,-99.47386,-177.5835,-10.330422,-1468.348,1880.7985810000016
14,2020,6,-1736.0281,0.0,0.0,-1198.2916,3.3715386,-77.455505,-986.12054,-57.182106,-2452.2156,1853.945663075
15,2020,6,224.59557,0.0,0.0,-1134.9414,-56.088573,-123.07326,-1012.26996,-70.28196,-2771.345,4172.761154021876
17,2020,6,-2974.2,0.0,0.0,-961.2142,-15.397565,-120.54749,-867.8651,-43.205288,-2162.1765,1351.7392443915628
